cancer_group	cohort	cell_type	molecular_subtype	n
Diffuse leptomeningeal glioneuronal tumor	PBTA	Monocyte	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Myeloid dendritic cell	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Myeloid dendritic cell	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	NK cell	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	NK cell	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Neutrophil	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	Neutrophil	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell CD4+ (non-regulatory)	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell CD4+ (non-regulatory)	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell CD8+	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell CD8+	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell regulatory (Tregs)	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	T cell regulatory (Tregs)	GNT, MAPK	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	uncharacterized cell	GNT, KIAA1549-BRAF	1
Diffuse leptomeningeal glioneuronal tumor	PBTA	uncharacterized cell	GNT, MAPK	1
Diffuse midline glioma	PBTA	B cell	DMG, H3 K28	94
Diffuse midline glioma	PBTA	B cell	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	Macrophage M1	DMG, H3 K28	94
Diffuse midline glioma	PBTA	Macrophage M1	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	Macrophage M2	DMG, H3 K28	94
Diffuse midline glioma	PBTA	Macrophage M2	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	Monocyte	DMG, H3 K28	94
Diffuse midline glioma	PBTA	Monocyte	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	Myeloid dendritic cell	DMG, H3 K28	94
Diffuse midline glioma	PBTA	Myeloid dendritic cell	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	NK cell	DMG, H3 K28	94
