cancer_group	cohort	cell_type	molecular_subtype	n
Atypical Teratoid Rhabdoid Tumor	PBTA	Monocyte	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell activated	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell activated	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell activated	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Myeloid dendritic cell activated	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	NK cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Neutrophil	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Plasmacytoid dendritic cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	Plasmacytoid dendritic cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	Plasmacytoid dendritic cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	Plasmacytoid dendritic cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ (non-regulatory)	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th1	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th1	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th1	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th1	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th2	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th2	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th2	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ Th2	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ central memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ central memory	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ central memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ central memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ effector memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ effector memory	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ effector memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ effector memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ memory	ATRT, SHH	23
