Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_JD5FE0V5	0.41726899642160026	0	0.09012178388700376	0	0	0	0	0.08033927826162963	0	0	0	0	0.09791145896503234	0	0	0	0	0	0.22337045744388184	0	0	0	0	0	0	0	0	0	0	0
BS_JEZBA2EW	0	0	0.14525536035447448	0	0.21472001382868722	0.09434262745581556	0	0.16038693396649212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_JD05XR6E	0.19371752059063796	0	0.2211110300561931	0	0	0	0	0.34474962815761384	0	0	0	0.10834605472839569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_JDZX545X	0.19041089710458892	0	0.13419793123493265	0	0.16282793753037764	0	0	0.2663184387552171	0	0	0	0.08636560246465619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_JC7E55BV	0.5342130120836688	0	0	0	0	0	0	0	0	0	0	0	0.2584017306913254	0	0	0	0	0	0.13551650813815	0	0	0	0	0	0	0	0	0	0	0
BS_JCWD4DMA	0.1946516645129555	0	0.12186208600204593	0	0	0.14031980349891493	0	0	0	0	0	0	0	0	0.44313541845330523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_J8EK6RNF	0.18919156246713034	0	0.1602075400418238	0	0.35254081315185865	0	0	0.1898118551513814	0	0	0	0	0	0	0	0.06232243133186141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_J8EH1N7V	0.1811642572135231	0	0.18655908119930223	0	0.06991334112986948	0	0	0.37612043444749754	0	0	0	0.11783252440990845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_HYKV2TH9	0.17247533811591295	0	0.07370038138813678	0	0.16102965762506666	0	0	0.35381336353598863	0.10015824757831698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_HSXARQ1K	0.2950558911583555	0	0.14006698969611164	0	0	0	0	0	0.11549630422004489	0	0	0	0.07872855985599415	0	0.1915619888747019	0	0	0	0	0	0	0	0	0	0	0.17909024960847064	0	0	0	0
BS_HF1TR0QN	0.4042845171315794	0	0.181634779368983	0	0	0	0	0	0	0	0	0.2598710627767401	0	0	0	0	0	0.14172665546932978	0	0	0	0	0	0	0	0	0	0	0	0
BS_HGKDT5AJ	0.4853466842303322	0	0	0	0	0.11709581274083701	0	0	0	0	0	0	0	0	0.3975575030288307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_HEJ72V3F	0.35503395766705137	0	0.11996877254732415	0	0	0	0	0.3595783232439258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_H8NWA41N	0.2829103590124615	0	0	0	0.17509437995925792	0	0	0.33873099101883813	0.06456340014082691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_H3TYF6GD	0.3435650146752167	0	0.2448438707004587	0	0	0.12303805934560172	0	0	0	0	0	0	0	0	0.15873122020047048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_GQFPB8F3	0.23388949933382572	0	0.30652768490106647	0	0	0	0	0	0.14547466939728937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10552483880153068	0	0.2085832787920136	0	0	0	0	0
BS_GKXD33YH	0.49721733309954397	0	0.1938734668493039	0	0	0	0	0	0	0	0	0	0	0	0.08508402279958267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09604158158182159	0
BS_GJ2KS7BT	0	0	0	0	0	0	0	0.25353246437811594	0	0.3053951021933159	0	0	0	0	0.11986352633198927	0	0	0	0	0	0	0	0.12515908296528291	0.17207481800773622	0	0	0	0	0	0
BS_GBXD55F1	0.723885629371083	0	0	0	0	0.276114370628917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_GBT44HST	0.34878274007159915	0	0	0	0	0.11164889844696486	0	0	0	0	0	0	0	0	0	0	0	0	0.1355018395110656	0.1540642216863702	0	0	0	0	0.19510572055542946	0	0	0	0	0
BS_G65EA38C	0.28000049681727834	0	0.13500475296876246	0	0.21296153442077323	0	0	0.23869982181223062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_FWP8ZA4K	0.3923013868551353	0	0	0	0.19317740170329786	0	0	0	0.11750487709178088	0	0	0	0	0	0.13298560722658662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_FK3B5SDH	0.330564481131281	0	0.12778608385087425	0	0.17214064616008234	0	0	0.14945335641625876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0959418310604618	0	0	0	0	0
BS_G5VS97AD	0.37130854040480593	0	0	0	0	0	0	0.13556666088953984	0	0	0	0.07162487135659026	0	0	0.23033677879762735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_F6YJDSXZ	0.8526346512272129	0	0	0	0	0	0	0	0.08358366172269056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
