cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Rhabdomyosarcoma	EFO_0002918	MONDO_0005212	NCIT_C3359	EFO_0002918	MONDO_0005212	NCIT_C3359	rhabdomyosarcoma	rhabdomyosarcoma	Rhabdomyosarcoma	True	True	True	True	True	True
Rosai-Dorfman disease	MONDO_0006412	MONDO_0006412	NCIT_C36075	MONDO_0006412	MONDO_0010155	NCIT_C36075	sinus histiocytosis with massive lymphadenopathy	Dorfman-Chanarin disease	Rosai-Dorfman Disease	False	False	True	True	False	True
Rosette-forming glioneuronal tumor	MONDO_0016736	MONDO_0016736	NCIT_C129431	MONDO_0016736	MONDO_0016736	NCIT_C129431	rosette-forming glioneuronal tumor of fourth ventricule	rosette-forming glioneuronal tumor of fourth ventricule	Rosette-Forming Glioneuronal Tumor	False	False	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C9118	EFO_0000691	MONDO_0005089	NCIT_C9118	sarcoma	sarcoma	Sarcoma	True	True	True	True	True	True
Schwannoma	EFO_0000693	MONDO_0002546	NCIT_C3269	EFO_0000693	MONDO_0002546	NCIT_C3269	schwannoma	schwannoma	Schwannoma	True	True	True	True	True	True
Stomach Adenocarcinoma	EFO_0000503	MONDO_0005036	NCIT_C4004	EFO_0000503	MONDO_0005036	NCIT_C4004	gastric adenocarcinoma	gastric adenocarcinoma	Gastric Adenocarcinoma	False	False	False	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
T Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000209	MONDO_0004963	NCIT_C3183	EFO_1001936	MONDO_0003537	NCIT_C8694	adult T acute lymphoblastic leukemia	precursor T-lymphoblastic lymphoma/leukemia	T Lymphoblastic Leukemia/Lymphoma	False	False	False	False	False	False
